correct dogru
conversation sohbet
circle daire
introduce tanıtmak
pair es
purse cuzdan
diary gunluk
charger sarjcihazi
pocket cep
extract ayikla
below altinda
intonation tonlama
polite kibar
comb tarak
discuss tartismak
bracket parantez
daily gunluk
routine rutin
guest misafir
stressed vurgulu
leaflet el-ilani
pronunciation telafuz
expression ifade
each-student her-ogrenci
herbal-pharmacy bitkisel-eczane
including dahil
seating oturma-yerleri
hut kulube
sweep supurmek
alone tek-basina
mend onarmak
accountant muhasebeci
refer deginmek
noisy gurultulu
serious ciddi
talkative konuskan
description aciklama
firework havai-fisek
special-occasion ozel-gunler
awful berbat
shame utanc
wonderful olaganustu
niece kiz-yegen
nephew erkek-yegen
dish tabak/yemek
washbasin lavabo
furniture mobilya
stairs merdivenler
shelves raflar
sink lavabo(mutfak)
rug kilim
bath kuvet
trainers-shoes spor-ayakkabi
temple tapinak
fall selale
dry-cleaner kuru-temizlemeci
curtain perde
cabbage lahana
peas bezelye
lettuce marul
aubergine patlican
grapes uzum
cereal tahil
beef sigir-eti
lamb kuzu-eti
pork domuz-eti
prawn karides
chop dograma
sprinkle serpme,ekme
stir karistirmak
bill fatura
pepper biber
salmon somon
garlic sarimsak
takeaway paket-servisi
grill izgara
jar kavanoz
bowl kase
mug kupa
tin konserve-kutusu
poor yoksul
violence siddet
afraid korkmus
another obur,baska
drop dusurmek
admire begenmek
village koy
prison hapishane
spend vakit-gecirmek
release serbest-birakmak
faithful sadik
experience deneyim
tent cadir
sightseeing gezip-gorme
journey seyehat
throught araciligiyla
square kare,meydan,karelere-bolmek
especially ozellikle
hill tepe
staff personel
take-turns bir-seyi-sirayla-yapmak
variety cesit,cesitli
pedestrian yaya
tram tramvay
dye-your-hair sacini-boyamak
grow-beard sakal birakmak
grow-moustache biyik birakmak
moustache biyik
beard sakal
interview gorusmek,gorusme
situation durum
guess tahmin,tahmin-etmek
recommend onermek
hard-to-believe inanmasi-guc
once bir-kere
showroom satis-yeri
coat kaban
suit takim-elbise
skirt etek
trousers pantalon
tie kravat
top ust(kiyafet)
overweight fazla-kilo
